Book,Event,Themes,Chapters
Genesis,Creation,Creation,"""1,2"""
Genesis,Adam and Eve,"Creation, Fall","""2,3"""
Genesis,Noah's Ark,"Judgment, Covenant","""6,7,8,9"""
Genesis,Abraham's Covenant,"Covenant, Promise","""12,15,17"""
Genesis,Isaac's Birth,"Promise, Fulfillment","""21"""
Genesis,Jacob and Esau,"Sibling Rivalry, Blessing","""25,26,27,28,29,30,31,32,33"""
Genesis,Joseph in Egypt,"Providence, Forgiveness","""37,39,40,41,42,43,44,45,46,47,48,49,50"""
Exodus,Moses' Birth,Deliverance,"""2"""
Exodus,Burning Bush,God's Call,"""3"""
Exodus,Ten Plagues,"Judgment, Deliverance","""7,8,9,10,11,12"""
Exodus,Red Sea Crossing,"Deliverance, Miracles","""14"""
Exodus,Ten Commandments,"Law, Covenant","""20"""
Exodus,Golden Calf,"Idolatry, Judgment","""32"""
Leviticus,Laws on Sacrifices,"Worship, Holiness","""1,2,3,4,5,6,7"""
Leviticus,Priestly Ordination,"Priesthood, Holiness","""8,9,10"""
Leviticus,Holiness Code,"Holiness, Ethics","""17,18,19,20,21,22,23,24,25,26"""
Leviticus,Day of Atonement,"Atonement, Worship","""16"""
Numbers,Census of Israel,"Organization, Covenant","""1,26"""
Numbers,Spying the Promised Land,"Faith, Rebellion","""13,14"""
Numbers,Rebellion of Korah,"Rebellion, Judgment","""16"""
Numbers,Balaam’s Donkey,"Prophecy, God's Sovereignty","""22,23,24"""
Numbers,Bronze Serpent,"Judgment, Healing","""21"""
Deuteronomy,Moses' Final Sermons,"Covenant, Law","""1,2,3,4,29,30,31"""
Deuteronomy,Repetition of the Law,"Law, Covenant","""5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26"""
Deuteronomy,Moses' Death,Leadership Transition,"""34"""
Joshua,Crossing the Jordan,"Faith, Miracles","""3,4"""
Joshua,Fall of Jericho,"Faith, Victory","""6"""
Joshua,Conquest of Canaan,"Warfare, God's Promise","""7,8,9,10,11,12"""
Joshua,Division of the Land,"Inheritance, Promise","""13,14,15,16,17,18,19,20,21,22"""
Judges,Deborah,"Leadership, Deliverance","""4,5"""
Judges,Gideon,"Faith, Leadership","""6,7,8"""
Judges,Samson,"Strength, Deliverance","""13,14,15,16"""
Judges,Israel’s Cycle of Apostasy,"Apostasy, Deliverance","""2,3,6,7,8,13,14,15,16"""
Ruth,Ruth’s Loyalty to Naomi,"Loyalty, Providence","""1,2"""
Ruth,Marriage to Boaz,"Redemption, Providence","""3,4"""
Ruth,Ancestry of King David,"Lineage, Promise","""4"""
1 Samuel,Samuel’s Leadership,"Leadership, God's Call","""1,2,3,4,5,6,7,8"""
1 Samuel,Saul’s Kingship,"Kingship, Rebellion","""9,10,11,12,13,14,15"""
1 Samuel,David and Goliath,"Faith, Victory","""17"""
1 Samuel,David and Jonathan,"Friendship, Loyalty","""18,19,20"""
1 Samuel,Saul's Pursuit of David,"Persecution, God's Protection","""18,19,20,21,22,23,24,25,26"""
2 Samuel,David’s Kingship,"Kingship, God's Covenant","""1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24"""
2 Samuel,David and Bathsheba,"Sin, Repentance","""11,12"""
2 Samuel,Absalom’s Rebellion,"Rebellion, Judgment","""13,14,15,16,17,18"""
2 Samuel,David's Census,"Judgment, Atonement","""24"""
1 Kings,Solomon’s Reign,"Wisdom, Wealth","""1,2,3,4,5,6,7,8,9,10,11"""
1 Kings,Construction of the Temple,"Worship, Covenant","""6,7,8"""
1 Kings,Division of the Kingdom,"Rebellion, Judgment","""12"""
