citation,processed_text
Genesis 1:1,beginning god created heaven earth
Genesis 1:2,earth without form void darkness upon face deep spirit god moved upon face waters
Genesis 1:3,god said let light light
Genesis 1:4,god saw light good god divided light darkness
Genesis 1:5,god called light day darkness called night evening morning first day
Genesis 1:6,god said let firmament midst waters let divide waters waters
Genesis 1:7,god made firmament divided waters firmament waters firmament
Genesis 1:8,god called firmament heaven evening morning second day
Genesis 1:9,god said let waters heaven gathered together unto one place let dry land appear
Genesis 1:10,god called dry land earth gathering together waters called seas god saw good
Genesis 1:11,god said let earth bring forth grass herb yielding seed fruit tree yielding fruit kind whose seed upon earth
Genesis 1:12,earth brought forth grass herb yielding seed kind tree yielding fruit whose seed kind god saw good
Genesis 1:13,evening morning third day
Genesis 1:14,god said let lights firmament heaven divide day night let signs seasons days years
Genesis 1:15,let lights firmament heaven give light upon earth
Genesis 1:16,god made two great lights greater light rule day lesser light rule night made stars also
Genesis 1:17,god set firmament heaven give light upon earth
Genesis 1:18,rule day night divide light darkness god saw good
Genesis 1:19,evening morning fourth day
Genesis 1:20,god said let waters bring forth abundantly moving creature hath life fowl may fly earth open firmament heaven
Genesis 1:21,god created great whales every living creature moveth waters brought forth abundantly kind every winged fowl kind god saw good
Genesis 1:22,god blessed saying fruitful multiply fill waters seas let fowl multiply earth
Genesis 1:23,evening morning fifth day
Genesis 1:24,god said let earth bring forth living creature kind cattle creeping thing beast earth kind
Genesis 1:25,god made beast earth kind cattle kind every thing creepeth upon earth kind god saw good
Genesis 1:26,god said let us make man image likeness let dominion fish sea fowl air cattle earth every creeping thing creepeth upon earth
Genesis 1:27,god created man image image god created male female created
Genesis 1:28,god blessed god said unto fruitful multiply replenish earth subdue dominion fish sea fowl air every living thing moveth upon earth
Genesis 1:29,god said behold given every herb bearing seed upon face earth every tree fruit tree yielding seed shall meat
Genesis 1:30,every beast earth every fowl air every thing creepeth upon earth wherein life given every green herb meat
Genesis 1:31,god saw every thing made behold good evening morning sixth day
Genesis 2:1,thus heavens earth finished host
Genesis 2:2,seventh day god ended work made rested seventh day work made
Genesis 2:3,god blessed seventh day sanctified rested work god created made
Genesis 2:4,generations heavens earth created day lord god made earth heavens
Genesis 2:5,every plant field earth every herb field grew lord god caused rain upon earth man till ground
Genesis 2:6,went mist earth watered whole face ground
Genesis 2:7,lord god formed man dust ground breathed nostrils breath life man became living soul
Genesis 2:8,lord god planted garden eastward eden put man formed
Genesis 2:9,ground made lord god grow every tree pleasant sight good food tree life also midst garden tree knowledge good evil
Genesis 2:10,river went eden water garden thence parted became four heads
Genesis 2:11,name first pison compasseth whole land havilah gold
Genesis 2:12,gold land good bdellium onyx stone
Genesis 2:13,name second river gihon compasseth whole land ethiopia
Genesis 2:14,name third river hiddekel goeth toward east assyria fourth river euphrates
Genesis 2:15,lord god took man put garden eden dress keep
Genesis 2:16,lord god commanded man saying every tree garden thou mayest freely eat
Genesis 2:17,tree knowledge good evil thou shalt eat day thou eatest thereof thou shalt surely die
Genesis 2:18,lord god said good man alone make help meet
Genesis 2:19,ground lord god formed every beast field every fowl air brought unto adam see would call whatsoever adam called every living creature name thereof
Genesis 2:20,adam gave names cattle fowl air every beast field adam found help meet
Genesis 2:21,lord god caused deep sleep fall upon adam slept took one ribs closed flesh instead thereof
Genesis 2:22,rib lord god taken man made woman brought unto man
Genesis 2:23,adam said bone bones flesh flesh shall called woman taken man
Genesis 2:24,therefore shall man leave father mother shall cleave unto wife shall one flesh
Genesis 2:25,naked man wife ashamed
Genesis 3:1,serpent subtil beast field lord god made said unto woman yea hath god said ye shall eat every tree garden
Genesis 3:2,woman said unto serpent may eat fruit trees garden
Genesis 3:3,fruit tree midst garden god hath said ye shall eat neither shall ye touch lest ye die
Genesis 3:4,serpent said unto woman ye shall surely die
Genesis 3:5,god doth know day ye eat thereof eyes shall opened ye shall gods knowing good evil
Genesis 3:6,woman saw tree good food pleasant eyes tree desired make one wise took fruit thereof eat gave also unto husband eat
Genesis 3:7,eyes opened knew naked sewed fig leaves together made aprons
Genesis 3:8,heard voice lord god walking garden cool day adam wife hid presence lord god amongst trees garden
Genesis 3:9,lord god called unto adam said unto art thou
Genesis 3:10,said heard thy voice garden afraid naked hid
Genesis 3:11,said told thee thou wast naked hast thou eaten tree whereof commanded thee thou shouldest eat
Genesis 3:12,man said woman thou gavest gave tree eat
Genesis 3:13,lord god said unto woman thou hast done woman said serpent beguiled eat
Genesis 3:14,lord god said unto serpent thou hast done thou art cursed cattle every beast field upon thy belly shalt thou go dust shalt thou eat days thy life
Genesis 3:15,put enmity thee woman thy seed seed shall bruise thy head thou shalt bruise heel
Genesis 3:16,unto woman said greatly multiply thy sorrow thy conception sorrow thou shalt bring forth children thy desire shall thy husband shall rule thee
Genesis 3:17,unto adam said thou hast hearkened unto voice thy wife hast eaten tree commanded thee saying thou shalt eat cursed ground thy sake sorrow shalt thou eat days thy life
Genesis 3:18,thorns also thistles shall bring forth thee thou shalt eat herb field
Genesis 3:19,sweat thy face shalt thou eat bread till thou return unto ground wast thou taken dust thou art unto dust shalt thou return
Genesis 3:20,adam called wife name eve mother living
Genesis 3:21,unto adam also wife lord god make coats skins clothed
Genesis 3:22,lord god said behold man become one us know good evil lest put forth hand take also tree life eat live ever
Genesis 3:23,therefore lord god sent forth garden eden till ground whence taken
Genesis 3:24,drove man placed east garden eden cherubims flaming sword turned every way keep way tree life
Genesis 4:1,adam knew eve wife conceived bare cain said gotten man lord
Genesis 4:2,bare brother abel abel keeper sheep cain tiller ground
Genesis 4:3,process time came pass cain brought fruit ground offering unto lord
Genesis 4:4,abel also brought firstlings flock fat thereof lord respect unto abel offering
Genesis 4:5,unto cain offering respect cain wroth countenance fell
Genesis 4:6,lord said unto cain art thou wroth thy countenance fallen
Genesis 4:7,thou doest well shalt thou accepted thou doest well sin lieth door unto thee shall desire thou shalt rule
Genesis 4:8,cain talked abel brother came pass field cain rose abel brother slew
Genesis 4:9,lord said unto cain abel thy brother said know brother keeper
Genesis 4:10,said hast thou done voice thy brother blood crieth unto ground
Genesis 4:11,art thou cursed earth hath opened mouth receive thy brother blood thy hand
Genesis 4:12,thou tillest ground shall henceforth yield unto thee strength fugitive vagabond shalt thou earth
Genesis 4:13,cain said unto lord punishment greater bear
Genesis 4:14,behold thou hast driven day face earth thy face shall hid shall fugitive vagabond earth shall come pass every one findeth shall slay
Genesis 4:15,lord said unto therefore whosoever slayeth cain vengeance shall taken sevenfold lord set mark upon cain lest finding kill
Genesis 4:16,cain went presence lord dwelt land nod east eden
Genesis 4:17,cain knew wife conceived bare enoch builded city called name city name son enoch
Genesis 4:18,unto enoch born irad irad begat mehujael mehujael begat methusael methusael begat lamech
Genesis 4:19,lamech took unto two wives name one adah name zillah
Genesis 4:20,adah bare jabal father dwell tents cattle
Genesis 4:21,brother name jubal father handle harp organ
Genesis 4:22,zillah also bare tubalcain instructer every artificer brass iron sister tubalcain naamah
Genesis 4:23,lamech said unto wives adah zillah hear voice ye wives lamech hearken unto speech slain man wounding young man hurt
Genesis 4:24,cain shall avenged sevenfold truly lamech seventy sevenfold
Genesis 4:25,adam knew wife bare son called name seth god said hath appointed another seed instead abel cain slew
Genesis 4:26,seth also born son called name enos began men call upon name lord
Genesis 5:1,book generations adam day god created man likeness god made
Genesis 5:2,male female created blessed called name adam day created
Genesis 5:3,adam lived hundred thirty years begat son likeness image called name seth
Genesis 5:4,days adam begotten seth eight hundred years begat sons daughters
Genesis 5:5,days adam lived nine hundred thirty years died
Genesis 5:6,seth lived hundred five years begat enos
Genesis 5:7,seth lived begat enos eight hundred seven years begat sons daughters
Genesis 5:8,days seth nine hundred twelve years died
Genesis 5:9,enos lived ninety years begat cainan
Genesis 5:10,enos lived begat cainan eight hundred fifteen years begat sons daughters
Genesis 5:11,days enos nine hundred five years died
Genesis 5:12,cainan lived seventy years begat mahalaleel
Genesis 5:13,cainan lived begat mahalaleel eight hundred forty years begat sons daughters
Genesis 5:14,days cainan nine hundred ten years died
Genesis 5:15,mahalaleel lived sixty five years begat jared
Genesis 5:16,mahalaleel lived begat jared eight hundred thirty years begat sons daughters
Genesis 5:17,days mahalaleel eight hundred ninety five years died
Genesis 5:18,jared lived hundred sixty two years begat enoch
Genesis 5:19,jared lived begat enoch eight hundred years begat sons daughters
Genesis 5:20,days jared nine hundred sixty two years died
Genesis 5:21,enoch lived sixty five years begat methuselah
Genesis 5:22,enoch walked god begat methuselah three hundred years begat sons daughters
Genesis 5:23,days enoch three hundred sixty five years
Genesis 5:24,enoch walked god god took
Genesis 5:25,methuselah lived hundred eighty seven years begat lamech
Genesis 5:26,methuselah lived begat lamech seven hundred eighty two years begat sons daughters
Genesis 5:27,days methuselah nine hundred sixty nine years died
Genesis 5:28,lamech lived hundred eighty two years begat son
Genesis 5:29,called name noah saying shall comfort us concerning work toil hands ground lord hath cursed
Genesis 5:30,lamech lived begat noah five hundred ninety five years begat sons daughters
Genesis 5:31,days lamech seven hundred seventy seven years died
Genesis 5:32,noah five hundred years old noah begat shem ham japheth
Genesis 6:1,came pass men began multiply face earth daughters born unto
Genesis 6:2,sons god saw daughters men fair took wives chose
Genesis 6:3,lord said spirit shall always strive man also flesh yet days shall hundred twenty years
Genesis 6:4,giants earth days also sons god came unto daughters men bare children became mighty men old men renown
Genesis 6:5,god saw wickedness man great earth every imagination thoughts heart evil continually
Genesis 6:6,repented lord made man earth grieved heart
Genesis 6:7,lord said destroy man created face earth man beast creeping thing fowls air repenteth made
Genesis 6:8,noah found grace eyes lord
Genesis 6:9,generations noah noah man perfect generations noah walked god
Genesis 6:10,noah begat three sons shem ham japheth
Genesis 6:11,earth also corrupt god earth filled violence
Genesis 6:12,god looked upon earth behold corrupt flesh corrupted way upon earth
Genesis 6:13,god said unto noah end flesh come earth filled violence behold destroy earth
Genesis 6:14,make thee ark gopher wood rooms shalt thou make ark shalt pitch within without pitch
Genesis 6:15,fashion thou shalt make length ark shall three hundred cubits breadth fifty cubits height thirty cubits
Genesis 6:16,window shalt thou make ark cubit shalt thou finish door ark shalt thou set side thereof lower second third stories shalt thou make
Genesis 6:17,behold even bring flood waters upon earth destroy flesh wherein breath life heaven every thing earth shall die
Genesis 6:18,thee establish covenant thou shalt come ark thou thy sons thy wife thy sons wives thee
Genesis 6:19,every living thing flesh two every sort shalt thou bring ark keep alive thee shall male female
Genesis 6:20,fowls kind cattle kind every creeping thing earth kind two every sort shall come unto thee keep alive
Genesis 6:21,take thou unto thee food eaten thou shalt gather thee shall food thee
Genesis 6:22,thus noah according god commanded
Genesis 7:1,lord said unto noah come thou thy house ark thee seen righteous generation
Genesis 7:2,every clean beast thou shalt take thee sevens male female beasts clean two male female
Genesis 7:3,fowls also air sevens male female keep seed alive upon face earth
Genesis 7:4,yet seven days cause rain upon earth forty days forty nights every living substance made destroy face earth
Genesis 7:5,noah according unto lord commanded
Genesis 7:6,noah six hundred years old flood waters upon earth
Genesis 7:7,noah went sons wife sons wives ark waters flood
Genesis 7:8,clean beasts beasts clean fowls every thing creepeth upon earth
Genesis 7:9,went two two unto noah ark male female god commanded noah
Genesis 7:10,came pass seven days waters flood upon earth
Genesis 7:11,six hundredth year noah life second month seventeenth day month day fountains great deep broken windows heaven opened
Genesis 7:12,rain upon earth forty days forty nights
Genesis 7:13,selfsame day entered noah shem ham japheth sons noah noah wife three wives sons ark
Genesis 7:14,every beast kind cattle kind every creeping thing creepeth upon earth kind every fowl kind every bird every sort
Genesis 7:15,went unto noah ark two two flesh wherein breath life
Genesis 7:16,went went male female flesh god commanded lord shut
Genesis 7:17,flood forty days upon earth waters increased bare ark lift earth
Genesis 7:18,waters prevailed increased greatly upon earth ark went upon face waters
Genesis 7:19,waters prevailed exceedingly upon earth high hills whole heaven covered
Genesis 7:20,fifteen cubits upward waters prevail mountains covered
Genesis 7:21,flesh died moved upon earth fowl cattle beast every creeping thing creepeth upon earth every man
Genesis 7:22,whose nostrils breath life dry land died
Genesis 7:23,every living substance destroyed upon face ground man cattle creeping things fowl heaven destroyed earth noah remained alive ark
Genesis 7:24,waters prevailed upon earth hundred fifty days
Genesis 8:1,god remembered noah every living thing cattle ark god made wind pass earth waters assuaged
Genesis 8:2,fountains also deep windows heaven stopped rain heaven restrained
Genesis 8:3,waters returned earth continually end hundred fifty days waters abated
Genesis 8:4,ark rested seventh month seventeenth day month upon mountains ararat
Genesis 8:5,waters decreased continually tenth month tenth month first day month tops mountains seen
Genesis 8:6,came pass end forty days noah opened window ark made
Genesis 8:7,sent forth raven went forth fro waters dried earth
Genesis 8:8,also sent forth dove see waters abated face ground
Genesis 8:9,dove found rest sole foot returned unto ark waters face whole earth put forth hand took pulled unto ark
Genesis 8:10,stayed yet seven days sent forth dove ark
Genesis 8:11,dove came evening lo mouth olive leaf plucked noah knew waters abated earth
Genesis 8:12,stayed yet seven days sent forth dove returned unto
Genesis 8:13,came pass six hundredth first year first month first day month waters dried earth noah removed covering ark looked behold face ground dry
Genesis 8:14,second month seven twentieth day month earth dried
Genesis 8:15,god spake unto noah saying
Genesis 8:16,go forth ark thou thy wife thy sons thy sons wives thee
Genesis 8:17,bring forth thee every living thing thee flesh fowl cattle every creeping thing creepeth upon earth may breed abundantly earth fruitful multiply upon earth
Genesis 8:18,noah went forth sons wife sons wives
Genesis 8:19,every beast every creeping thing every fowl whatsoever creepeth upon earth kinds went forth ark
Genesis 8:20,noah builded altar unto lord took every clean beast every clean fowl offered burnt offerings altar
Genesis 8:21,lord smelled sweet savor lord said heart curse ground man sake imagination man heart evil youth neither smite every thing living done
Genesis 8:22,earth remaineth seedtime harvest cold heat summer winter day night shall cease
Genesis 9:1,god blessed noah sons said unto fruitful multiply replenish earth
Genesis 9:2,fear dread shall upon every beast earth upon every fowl air upon moveth upon earth upon fishes sea hand delivered
Genesis 9:3,every moving thing liveth shall meat even green herb given things
Genesis 9:4,flesh life thereof blood thereof shall ye eat
Genesis 9:5,surely blood lives require hand every beast require hand man hand every man brother require life man
Genesis 9:6,whoso sheddeth man blood man shall blood shed image god made man
Genesis 9:7,ye fruitful multiply bring forth abundantly earth multiply therein
Genesis 9:8,god spake unto noah sons saying
Genesis 9:9,behold establish covenant seed
Genesis 9:10,every living creature fowl cattle every beast earth go ark every beast earth
Genesis 9:11,establish covenant neither shall flesh cut waters flood neither shall flood destroy earth
Genesis 9:12,god said token covenant make every living creature perpetual generations
Genesis 9:13,set bow cloud shall token covenant earth
Genesis 9:14,shall come pass bring cloud earth bow shall seen cloud
Genesis 9:15,remember covenant every living creature flesh waters shall become flood destroy flesh
Genesis 9:16,bow shall cloud look upon may remember everlasting covenant god every living creature flesh upon earth
Genesis 9:17,god said unto noah token covenant established flesh upon earth
Genesis 9:18,sons noah went forth ark shem ham japheth ham father canaan
Genesis 9:19,three sons noah whole earth overspread
Genesis 9:20,noah began husbandman planted vineyard
Genesis 9:21,drank wine drunken uncovered within tent
